NUMLINK,ResourceID,Description,Description_Type
411522,411522,Llansannor House is a two storey late Regency style villa dating from c.1845. Built of local rubblestone with a Welsh slate roof. A gasworks was marked on the 1897 OS map and visible till the 1964 OS map. The gasworks would have supplied gas to light the house and any other significant buildings.,English Description
411456,411456,"The Dyffryn estate in Cadoxton-juxta-Neath had been owned by both the Williams family and then the Fredericks family of Crickhowell. In 1854 Howel Gwyn, MP, purchased the estate and built a new mansion, Dyffryn House. George Bower reported in his book of 1866, that he had built a gasworks for Howell Gwyn Esq. MP and resident of Duffryn House, Neath c1850’s. An article in the Cambrian from the 7th September 1906, referred to a John Cook a Blacksmith who worked in the private gasworks at Duffryn House. The gas would have been used to light the house with gas. The gasometer was featured on the OS maps between 1877 and 1936. The House was demolished in 1931.       ",English Description
409595,409595,George Bower recorded that he built a gasworks for R. Fothergill Esq. It was shown on both the 1868 and 1885 OS maps and shown as disused on the 1900 OS map. Private gasworks to the country House.  The gas would have been used to light the house with gas.,English Description
408219,408219,"In 1870 The North Wales Paper Company Ltd was founded by the Liverpool paper manufacturers McCorquodale in a new mill built on the site of Oakenholt Corn Mill. A gasometer was marked on the 1899 and visible until the 1938 OS map, indicating a private gasworks to light the mill. It is still a paper mill today. ",English Description
40511,40511,"The Yspeytty works were founded in 1869.  It originally had ten mills and was the first works in the Llanelli area not to have its own forge and iron puddling furnace.  The works were for sale in 1893 and did not re-open until October 1894 under the new management of John Jones Jenkins.   The works later became the St. David’s Tinplate Co works c1909. A gasometer is marked on the 1880 OS map at the Yspytty works, indicating a private gasworks, used to light the works with gas. ",English Description
402506,402506,"The Dinas Mawddwy estate was purchased by Edmund Buckley in 1856. He was a rich industrialist. The estate was inherited by his son, Sir Edmund Buckley, who built a grand house Y Plas in 1868 and other estate buildings such as the Buckley Arms Hotel. The gasworks was likely established to supply gas to light Y Plas and other notable estate buildings. The  Dinas Mawddwy gasworks were mentioned in The Cambrian News on the 20th April 1900 following a discharge of tar into the Dovey River affecting the fishing, the same issue was reported the following year.  The gasworks were marked on the 1887 to 1901 OS maps.",English Description
37025,37025,"The Hendre is a large Victorian Country House in Monmouthshire and the ancestral estate of the Rolls family. The house was developed by three major architects, George Vaughan Maddox, Thomas Henry Wyatt and Sir Aston Webb. The gasworks was likely added c 1872, when the house underwent development, they were located in the service buildings to the northeast of the house, which also later included an electricity generating plant. The gasworks were featured on OS maps from 1882 to 1944. ",English Description
35613,35613,"The Wynnstay estate came into the possession of the Wynn family in the seventeenth century.  Sir Watkin Williams Wynn, 3rd Baronet of Llanforda had Wynnstay House built to designs by Francis Smith, this house was destroyed by fire in in 1858, and was rebuilt to designs by Benjamin Ferrey.  The gasworks were reported to be in operation in 1858 at the time of the fire which destroyed the house. It is likely that at this point the gasworks was built.  W.C. Holmes gas engineer of Huddersfield recorded in his book of 1874 to have built a gasworks for Sir Watkin Williams Wynn Esq., Bart., M.P. for his home Wynnstay, at Ruabon. The gasworks would have lit the house and estate with gas light.  The gasworks appeared on the 1873 OS map. ",English Description
35021,35021,"The Cambrian (later Grand) Hotel at Borth opened at the same time as the Cambrian Railways station in 1864. The Hotel, Cambrian Terrace and the Station were all built by Thomas Savin, The Cambrian name was due to the hotel being owned by the Cambrian Railway Company. The gasworks did not feature on the 1888, 25-inch map. The 25-inch 1904 map and a plan dated 1925 showed a very small 'gasometer' and associated rectangular building, the probable gas house, adjacent a long rectangular row of buildings. These buildings were a coach house and stables, a three-room cottage with a room over, and a large storehouse which opened into the railway yard. The gasometer was marked until the 1948 OS map. Ownership of the gasworks and when it was constructed are uncertain, but it is assumed that it was associated with the Cambrian Hotel, as they were within the grounds of the Hotel. An article in the Cambrian News (27th May 1881) suggests the gasworks may have been a public enterprise “He was also fond of Borth, and he trusted now that the waterworks had been constructed, that the only other want should be supplied, he meant gas-works. He hoped he should have the happiness of seeing the Chairman there twelve months hence inaugurating the Borth gasworks.”. The waterworks were established by the Aberystwyth Rural Sanitary Authority, so they may have established the gasworks in 1882, it suggests the gasworks did not exist before 1881.  The Aberystwith Observer from the 1st June 1889 described that “The house is lit throughout by oil-gas, the works for the production of which are on the grounds.”. Borth Did have gas streetlights and the hotel was supplied with gas, but it is less certain about the station. When, in 1936, the GWR installed electric lighting in the station, it replaced not gas but oil.",English Description
34104,34104,"In 1835 Williams, Foster & Co. opened the Morfa copper works, which had rolling mills and smelting halls. They were combined with the Hafod copper work in 1924 and although smelting finished, copper products were produced until 1980, when the site was abandoned.   Gas plant was built for the Morfa Copper Works between 1833 and 1841), Swansea by Neath Abbey Iron Works (West Glamorgan Archive Service Reference GB 216 DD NAI/2/32/hub). No Gasometers or gasworks are marked on any OS maps.",English Description
34103,34103,"Middle Bank copper works were established by a London entrepreneur, Chauncey Townsend. The works were owned by Williams and Grenfell in the early nineteenth century. The Neath Abbey Iron Works included the Middle Bank Copper Mills in Swansea, as a client for whom gas plant was built (condenser. Drawing within West Glamorgan Archive Service Ref:  GB 216 DD NAI/2/31/hub). This indicates the plant had a gasworks which would have lit the works. No gasworks is visible on any OS maps. ",English Description
34089,34089,"The Cornish entrepreneur John Vivian built the Hafod works in 1808-9. They took copper first from Cornwall, then Anglesey and then world-wide which was smelted with Welsh coal. They were at one point the large copper works in the world. They were combined with the Morfa copper work in 1924 and although smelting finished, copper products were produced until 1980, when the site was abandoned.  A gasworks was built for the Hafod Works, Swansea by Neath Abbey Iron Works. Gasometers marked on the 1879 & 1899 OS maps at the Southern End of the Copper Works, indicating a private gasworks to light the copper works.",English Description
34047,34047,"A second gasometer featured on the 1907 OS map, to the south of the Copper works. ",English Description
34047,34047,"The Lead and Silver works opened in 1865 by the Burry Port Smelting Co. The gasworks was constructed between 1858 and 1868, by George Bower for the Burry Port Smelting Co. A gasometer was marked on the 1880 OS map only. The gas would have been used to light the works with gas. The works were shown as dismantled by the 1905 OS map.",English Description
309683,309683,"These were built as a private gasworks to supply the Carmarthen County Asylum with gas.  The proposal for the gasworks were described in the Carmarthen edition of the Welshman from the 20th march 1868 “That private gas works be erected for supply of gas to the Asylum that such works be constructed to supply gas for 500 burners; that the gasometer be capable of containing 7,000 cubic feet of gas; that advertisements be inserted in certain newspapers inviting persons to send in plans and specifications for the erection of such gas works, and tenders for carrying out the same and all necessary buildings complete, such plans and tenders to be sent to Dr Hearder the medical superintendent at the Asylum”. The gasworks had been removed by 1964. The site was later known as the St. David’s Hospital.  ",English Description
301165,301165,"The, Clydach refinery, opened in 1902 and is one of the oldest in the world. The plant produces refined nickel in the form of powder and pellets. Gasholders were marked on OS maps from 1969 to present. The gasholder are Wiggins type dry gasholder, the first being built in 1958 and the last in 1970. The gasholders are used to store gases used in the nickel refining process.",English Description
29117,29117,"Cyfronydd Hall was built c1865 for the Pryce Jones family after an earlier hall on the site burned down. The family sold the house in 1927 after which it was purchased by Montgomeryshire County Council for use as a girls' school and now a private residence. The private gasworks was present on OS maps between 1885 and 1960. They were marked as old gasometer and gashouses on the 1902 25-inch OS map, suggesting they were disused.  ",English Description
27995,27995,"A New Castle was built on the site of Wenvoe Castle in 1776–77, under the design of architect Robert Adam. The estate was passed from the Birts to the prominent Glamorgan Jenner family in early 19th century. It is under their ownership that the gasworks would have been built to light the house and estate buildings. They appear on the 1879 to 1900 OS maps. Much of the castle building was destroyed by a fire in 1910, only the east pavilion together with the stable block survived.  ",English Description
27553,27553,"Nantclywd Hall is the country seat of the Naylor-Leyland baronets, the private gasworks was likely to have been installed whilst it was the private residence of Herbert Naylor-Leyland (1864–99). The gasworks were visible on OS maps from 1899 to 1959. ",English Description
27395,27395,"The current Kinmel Hall was designed by William Eden Nesfield c.1871-1874. This is the likely date at which gas was installed. The gas would have been used to light the hall with gas. The gasworks were known to have operated until 1929, Mr. E. H. Millward, Manager & Secretary of the Abergele Gas, Coke & Water Company had written The Gas World Yearbook, 1930, that the gasworks at the hamlet of St. George, about three miles from Abergele, was closed down. This was a small private concern supplying gas to Kinmel Hall and the neighbouring church. This was a clarification, as it had been reported that the Abergele Gas, Coke & Water Company has closed instead. ",English Description
2726,2726,"Hafodunos Hall is a country house in Venetian-inspired Gothic style, built in 1864. Gasworks built by George Bower for H. R. Sandbach Esq. post-1859, pre-1868. The gasworks were marked on OS maps between 1878 and1959. The gasworks were located to the northeast of the house, towards Llangernyw. The gas would have been used to light the house with gas. It may have provided some gas supply to the village. The house was gutted by fire in 2004.",English Description
27177,27177,"Wrexham Guardian from the 18th August 1877 described about Galltfaenan “The gas house, where Benzoline gas is made for the use of the mansion, was an object of great interest.”  No gasworks visible on the OS maps.",English Description
266493,266493,"The house was largely remodelled in the early 19th century by the Williams family, who made money from lead mining activities. The 1871 map shows a private gasworks in the NW corner of the Castle site. An article from the 14th of January 1905 in the Denbighshire free press, mentioned the gas lighting in Ball room. The gasworks were featured on the maps until the 1954 OS map. These private gasworks supplied gas to light the castle and estate. They are likely to have been installed during the ownership of the Castle by Sir William Grenville Williams.  ",English Description
266451,266451,"Plas-yn-Vivod dates mainly from the 1850s or early 1860s, with considerable enlargement and remodelling in 1871 by W.J. Green for William Wagstaff. The gasworks was only marked on the 1874 OS map. The hall was owned by Capt Best in 1891, a keen enthusiast of Sheepdog trials.  ",English Description
265727,265727,"Margem Castle was built in Tudor Gothic style between 1830-1840 by Thomas Hopper for Christopher Rice Mansel Talbot. George Bower gas engineer of St. Neots recorded in his book of 1866, that he built a gasworks at Margam Park, Tailbach, for C. R. M. Talbot Esq., M.P., after 1859 but before 1868. Gas was manufactured to light the castle and estate. The gasworks appeared on the 1876 to 1882 OS maps.",English Description
265565,265565,"Gregynog Hall is an elaborate late nineteenth-century neo-Jacobean house of brick, over which is moulded concrete, painted black and white to appear as timber framing. This house was built in the 1830’s under the ownership of Charles Hanbury-Tracy, 1st Baron Sudeley. The gasworks added either by him or his son and only marked on the 1885 to 1886 OS maps.  Economic Gas Company issued a pamphlet c1881 in which they described their system of manufacturing gas for heating purposes and motive power at the low cost of 1s. per 1,000 feet. This system was reported to be in operation at Gregynog Hall, Lord Sudeley’s seat. The house was sold in 1894 by Lord Joicey, who it would appear removed the gasworks. The gasworks would have been used to light the house. ",English Description
265380,265380,"Haulfre, was a country house built for the family of Major Chadwick, a wealthy industrialist from Lancashire. The extensive outbuilding included a gasworks with two gasometers. The house was bequeathed to the council on the death of the last Chadwick in the 1960’s The 1889 to 1919 OS maps recorded gasometers at the property adjacent outbuildings, indicating a private gasworks which would have lit the house.",English Description
265359,265359,"Cornelyn was built in 1861 by local masons, for William Massey, a barrister from Cheshire who practiced in London. It remained in the family until 1960. A gasometer was marked on the 1889 to 1959 OS maps, at buildings referred to as Ffynnon Lydan, indicating a private gasworks which would have lit the house and estate.",English Description
265332,265332,"An article called Cycling Notes that appeared in the Aberystwyth Observer of the 4th of August 1898 “I may say that the mansion is lighted with oil gas, made on the premises.”. Crosswood park was the home of the Vaughan family who were granted the title the Earls of Lisburne. No gasworks visible on the OS maps.",English Description
26526,26526,"Glynllifon Mansion is a grand neo-classical mansion set in extensive park and grounds. The current house was completed in 1846 and extended in 1889-90.  In 1856, De Winton & Co. engineers of Caernarfon built a gasworks for Lord Newborough of Glynllifon House. The original gasworks contained two beds, each one containing a single retort, but was later enlarged. A second holder was added, both gasholders being 24' in diameter. Some drawings by De Winton survive. The gasworks appeared on OS maps from 1888 to 1959. The gas would have been used to light the house with gas.",English Description
25527,25527,"Glenusk Park was built for the ironmaster Sir Joseph Bailey on land he bought in 1825 and became one of the most important houses of south Wales, entertaining both royalty and society.  The house was designed and built by Robert Lugar between 1825-30. W.C. Holmes reported in their book of 1874, that they had built a gasworks for Sir. J. R. Bailey, Bart, who lived at Glenusk Park, Crickhowell. The gasworks was marked on the 1881 and 1905 OS maps.  The gas would have been used to light the house with gas.  Mr. David Edwards, manager of the Llandovery Gas Works. He was brought up to the like vexation, and for ten years occupied the position of manager to Lord Glanusk's private Gasworks. (The Cambrian 5th July 1907)",English Description
25344,25344,"The main building of the castle was built between 1841 and 1843 for Captain Rhys Davies Powell, in 1876 it was sold to the Morgan family. In 1878 the castle became home to the opera singer Adelina Patti who built extensively at the castle, doubling its size, including two winter gardens two billiard rooms and theatre. The Castle included a gasworks, indicated by a gasometer marked on the 1887 to 1906 OS maps. The Castle was reputed to be the first house in Wales to switch to electric lighting c1890. A newspaper report from 1890 (The Cambrian, 22nd August 1890) explained that the theatre was lit by about 240 incandescent electric lamps of 8 and 16 candle power, the coloured light being produced by variously coloured glass bulbs, the rest of the castle was lit by gas as well, installed by the Wenham Company. The gasworks was used to supply gas to power a ‘Otto’ Gas Engine which was attached to a 110-volt DC generator which charges more than fifty large Faure accumulators, sufficient to keep the whole of the lights going for two nights. This supplied the house via two copper wires embedded in wood. The gasworks may have provided gas lighting prior to this.",English Description
24855,24855,"Furnace Mill was part of the Bodnant House Estate, which became the home of Henry Davis Pochin an industrial chemist. He set about remodelling the Bodnant Estate and likely added the gasworks. A gasometer was marked on the 1900 to 1949 OS map. The gasometer indicates a private gasworks to light the house and estate. The Gardens were bequeathed to the National Trust in 1949. ",English Description
21157,21157,"The original house, The Leys, was built in 1795 by S. O. Attley of London. It was purchased around 1820 by Richard Blakemore an iron master and politician. The house was rebuilt for John Bannermann under the architect William Burn. The country house is within England, but the Gas house was just located in Wales, with the gasometer across the border in England the gasworks was Southwest of the house on the west bank of the Wye and likely built for John Bannermann. It only appears on the 1904 OS map. The gasworks was being constructed in 1864 for Mr Bannerman (The Cardiff and Merthyr Guardian Glamorgan Monmouth and Brecon Gazette 9th August 1862)",English Description
17017,17017,"Vaynol Hall replaced the Old Hall as the main residence of Vaynol Park. It was built in the mid-18th century, and extensively remodelled in the 19th century to create the present mansion. It was home to the Assheton Smith family, who owned extensive slate mines. The estate to which it belonged was gradually sold off during the 20th century. A gasometer was marked on the 1913 to 1949 OS maps, indicating a private gasworks to the estate.",English Description
16749,16749,"He earliest records for Plas Llanfair, date back to 1673, but the gasworks were likely installed under the ownership of   Earl of Uxbridge (later Marquis of Anglesey) family the Padget’s. The site later became a training centre for boys to enter the merchant Navy and is now used by the MOD. The grounds of Plas Llanfair include the north shore of the Menai Strait with Nelson's Statue, just west of Britannia Bridge. A very small private gas works was built southwest of the house at Pwll-fanop, The OS maps of both 1888 and 1913 record the ""Gas Works” as disused.  ",English Description
15579,15579,"The gasworks were probably installed during the time of Owen Fuller Meyrick, the grandson of Owen Putland Meyrick, who oversaw the building of the present house. The gasworks closed sometime between 1891-1922. These were a private gasworks used to light the Hall and the Estate with gas.  The gasworks were marked on the 1888 to 1900 OS maps.",English Description
145757,145757,"Gasworks built to supply Chirk Castle and the Estate. Located NW of the Castle. A drawing of the gasworks, with its three retorts survives and dates to 1857, attributed to the engineer Robert Roberts. A building (Gashouse) flanked by two gasometers is marked on the 1899 1:2500 OS map (present but unmarked on the 1873 OS map). There was an additional gasometer marked SE of the gasworks on the 1899 OS map. The features were present on OS maps until 1954.  The gas would have been used to light the castle and wider estate buildings with gas.",English Description
125,125,"Stackpole Court was a large mansion built in 1735-6 and enlarged in the 19th century.  It became the seat of the Campbell family (Lords of Cawdor in Scotland), who inherited the house through marriage.  The gasworks were built in a converted carthouse. George Bower recorded in his book of 1866 that he had built a gasworks for The Rt. Hon. the Earl of Cawdor, Stackpole Court, Pembroke. The gasometer only marked on the 1900 and 1908 OS maps. The gas was used to light the house and estate buildings. The mansion was demolished in 1963. ",English Description
96150,96150,"The Dolgelly Gas & Coke Co. Ltd. was formed in 1855. In 1881, Mr Edward Jones was Chairman, John Ellis Manager and Secretary. The gasworks was first shown on the 1889 OS map, with a single gasholder. In 1895 Mr Jas. White was Manager and the registered Office was in Ruabon, George E. Woodford. On the 22nd of August 1896, land adjoining Smith Street, including works and works house, sold to Dolgelly Gas Company. 1,286 sq. yds. for £7,500. By 1901 the gasworks had expanded eastwards with a 2nd gasholder. In 1901 Mr. Ellis Jones, manager of Dolgellau gas works. Extra land was purchased on the 8th December 1903 (170 sq. yds) and the 8th October 1904 (130 sq. yds). In 1915 Robert Woodford was manager. The Annual gas production in 1949 was 14m cu.ft.. In 1952 the “Gas World Year Book”, recorded that Dolgellau was manufacturing 12 m cu.ft. of gas using horizontal retort plant. J.W. Lloyd was the manager. The Dolgellau gasworks was connected to the Barmouth gasworks in 1959, which had a surplus gas supply. It was later supplied in 1963 through the Mid Wales Gas Grid from the Maelor gasworks at Wrexham.  In May 1974 two holders remained in use. A gasworks building was reused as a showroom as it faced the main street. The gasholders were still marked in the 1978 OS map, but only a single gasholder was marked on the 1983 OS map.",English Description
88081,88081,"The Admiralty gasworks were located outside the Dockyard, on Fort Road, they date back to 1855. The house of commons returns for 1860, indicated that the gasworks were extended with the inclusion of another 10 retorts, c1859. The gasworks were supplying 637 public lights and 93 private lights in officers’ houses. The gas mains at this time were 6.2 miles long. The Admiralty gasworks supplied gas within Pembroke Dockyard, primarily for lighting purposes, supplying both the Dockyard Authorities and War Department. It was replaced by a power station which produced electricity c1900. There were two gasholders at the site.",English Description
86821,86821,"Llanwern Steelworks were originally built for Richard Thomas & Baldwin, they were subsequently owned by British Steel.  The site was built on a green field site extending 4.8 km (3 miles), south of the main railway line, between 1958 and 1962.  The site was an integrated steelwork. Steel making ceased in 2001, although the hot strip mill continued use. A gasholder was marked on the 1995, this was a Wiggins type dry gasholder which would have been used for the storage of gases from the steel works. ",English Description
86821,86821,"Llanwern Steelworks were originally built for Richard Thomas & Baldwin, they were subsequently owned by British Steel.  The site was built on a green field site extending 4.8 km (3 miles), south of the main railway line, between 1958 and 1962.  The site was an integrated steelwork. Steel making ceased in 2001, although the hot strip mill continued use. A gasholder was marked on the 1966 and 1995 OS maps, this was dry type gasholder which would have been used for the storage of gases from the steel works.",English Description
86821,86821,"Llanwern Steelworks were originally built for Richard Thomas & Baldwin, they were subsequently owned by British Steel.  The site was built on a green field site extending 4.8 km (3 miles), south of the main railway line, between 1958 and 1962.  The site was an integrated steelwork. Steel making ceased in 2001, although the hot strip mill continued use. A gasholder was marked on the 1967 and 1995, this was dry type gasholder which would have been used for the storage of gases from the steel works.",English Description
85432,85432,"In 1840 the Directors of the Swansea Gas Light Company found that the Dyffaty works were too small and could not supply demand. Although the Dyfatty Gasworks served the town for many years, they were not situated in a very suitable position, especially as the town extended westwards and at a much lower level. it was decided to move the gasworks to a more strategic location to supply Swansea with gas for the future. Land called “Burrows Field No.6” on Oystermouth Road were sold by the Corporation to the Company for £150 15s on the 17th July 1841.The Dyfatty gasworks were dismantled after Oystermouth Road gasworks opened in March 1842. The gasworks site was a long-standing fixture in the city of Swansea. The original site was acquired in July 1841, a Mr. Spinney acted as consultant. The Neath Abbey Ironworks supplied gas plant to the Swansea Gas Company in 1841 (the drawings are held by the West Glamorgan Archive Service ref: GB 216 DD NAI/2/42/hub). The Swansea Gas Light Company began producing gas on the six-acre site in March 1842.
In 1844 Swansea Corporation obtained a second private act for the better paving, lighting and further improving the town. By 1867 the borough of Swansea had been greatly extended, so much so that the length of Swansea‘s streets had increased to approximately 40 miles and the number of public gas lamps to 589. In 1883 The Swansea Gas Light Company, had authorised capital of £100,000, and had in 1881 produced 155m cu.ft. of 15 cp gas from 18,461 tons of coal. (The Cardiff Times 20th January 1883). In 1890 under the direction of the then engineer/manager Mr Thornton the gasworks were further extended and updated. In March 1903 six beds of eight inclined retorts were first worked, they were built by New Conveyor Company and proved very troublesome. Two years late in 1905 six more beds of inclined retorts were built by Drakes.
In 1912 an application was made to Parliament for powers to be granted to purchase land at Morriston for the construction of a new gasworks. George Andrews was replaced by Reginald G. Clary as Engineer & Secretary in 1914. Preparations were made in 1914 to build the new gasworks at Morriston, but this was delayed by the onset of World War One, the only works carried out were the levelling and drainage of the site. The first gas showroom was opened in in 1914 on Wind Street. The construction of the gasholder at Morriston commenced in 1919. Mr W. H. Johns was appointed Engineer and Manager to the company in 1920, he had an important role in the awarding of contracts, deciding types of plant and generally overseeing the construction of the new Morriston gasworks. The new gasworks consisted of a machine charged Horizontal Retort House, housing 140 retorts all ancillary plant and a new power house. A Carburetted Water Gas plant was built to supplement coal gas production and meet peak demand. The New Morriston gasworks were commissioned and became fully operational in 1924, with the Oystermouth gasworks closing in 1925. The Carburetted Water Gas was shut down later in March 1927. The retort houses and No.1 gasholder demolished in 1936. 
On the 19th February 1941 an incendiary device landed on one of the gas holders at Oystermouth Road Setting it on fire. Mr George Peters and Mr Johnny Thompson, foreman, scaled the gasholder and extinguished the flame with wet clay, for which the George Medal and British Empire Medal respectively. At its peak, the site housed four gasholders which stored and distributed gas from the site. The other three survived until nationalisation and into the Wales Gas era. The gasworks were visible on the 1880 to 1993 OS maps.",English Description
