NUMLINK,ResourceID,Description,Description_Type
710084,710084,"The Aberystwyth Gas & Coke Company was formed in 1838.  Plans and estimates were provided by Wm. Morley Stears gas engineer of Stroud.  The gasworks were located on the town end of Park Avenue, with gas first being made in 1838. The gasworks land was leased from the Corporation, the first gas being made in 1838 from just three retorts.  John Brunton was appointed in 1839 to inspect the works before it was handed over from the contractors. Initially 80 gas streetlamps were installed, and gas was supplied to a few private houses were lit by gas. Gas meters were soon used supplied by Wm. Parkinson of Cottage Lane, City Road, London. An OS map of 1886 showed the gasworks had two gasometers and a central retort house, accessed from Smithfield Road. Cola would have been carted from the depot to the gasworks. Coal was originally supplied by ship. The railways did not reach Aberystwyth until 1864 (Cambrian Railway) and 1867 (Manchester and Milford railway). The gasworks were enlarged in 1870.  In 1881 Hugh Hughes was Chairman, James Dougall was Manager and R. J. Jones was Secretary. The company retained Henry Woodall as Consultant in 1895, who advised that a new site should be sought, and a parliamentary Bill was promoted. In March 1896 the Cambrian Railways accepted a £298 quotation from the Aberystwyth Improvement Company to install electric lighting at their station, the Gas Company promptly reduced its charges to the Cambrian Railway. The gasworks was moved to a new site in Llanbadarn out of the town.  In 1902 these original gasworks had closed, so were not vested in the Wales Gas Board.  The gasworks were visible on the OS maps from 1887 to 1905 OS maps.",English Description
710085,710085,"The gas company formed was formed in 1860, the gasworks were designed and erected by George Bower of St. Neots. By 1881 the gasworks belonged to Thomas Fanning Evans and was said to have been built for his family, he was still reported as the owner in 1901. H. Parry was Manager in 1881. In 1914 reformed as Amlwch Gas Company, was associated with W. A. Schultz with an office at 50, Cannon Street, E.C. The gasworks were acquired by the East Anglesey Gas Company, together with Beaumaris. In 1945 the Holyhead and North Wales Gas & Water Corporation was told that the Company might be purchased, but they did not act because of uncertainty over the Heyworth Report. In 1949 the annual gas production 15m cu.ft.. A 1950 plan held by the NGGA shows two gasholders, 1 single lift gasholder of 8000 cu.ft. and a 2nd gasholder with two lift and a capacity of 18,000 cu.ft.. In 1952 the “Gas World Year Book”, showed that Amlwch was manufacturing 17m cu.ft. of gas using horizontal retort plant. W. Calvert was the manager. The first North Wales Gas Grid was completed between 1955-57 which included the Anglesey, once connected production ceased. During conversion to natural gas in 1969-70 an LNG regasification plant was built at Amlwch to reinforce NG gas supply, which made conversion possible. The site was retained as a gasholder station and features on OS maps from 1888 to 1995.",English Description
710086,710086,"The New Ammanford Gasworks were opened in November 1907. The description of the gasworks was as follows. The retort house was 65 feet long, 60 feet wide, and 30 feet high, and contained 4 beds of 5 retorts. The gasometer, 45 feet in diameter, is constructed in a steel tank 20 feet high and the exhauster can supply 6,000 cu.ft. per hour. The station meter is set in a brick and slate building, and the purifiers are located in a place with open sides and tiled roof. The condensers, which are of 8-inch diameter were supplied by the Gas Supplies and Constructive Company themselves. All the iron work for the regenerator furnaces were supplied by Messrs, Drakes, Ltd., Halifax. The Ammanford Gas Co. Ltd. was formed by a SA in 1909 and by 1914 it was making 14.5m cu.ft. of gas per year. There were two gasholders and they had 690 customers at the time and provided no public street lighting. The gasworks had their own private rail siding into the works. Hubert Russell was the Manager and Engineer. Further land was acquired in 1935, 1936, 1943 and 1945. By nationalisation in 1949, the gasworks were producing 20m cu.ft. of gas per year, Mr D.W.F. Thomas was the Engineer & Manager. In 1952 the “Gas World Year Book”, showed that Ammanford was manufacturing 45m cu.ft. of gas using horizontal retort plant. R. Eric Wiles was engineer and manager. By 1954 the gasworks had closed and there was a gas recompression station here, sending gas north to Llandeilo, Llandovery and Lampeter. This was displaced by a new supergrid offtake in 1965/66 when a spur was laid to Ammanford from a new Llandarcy - Llanelli pipeline.  The site was retained as gasholder station and features on the OS maps from 1913 to 1993.",English Description
710087,710087,"The company was formed in 1863, the gasworks built by W. C. Holmes of Huddersfield. In 1895 John R. Jones was Secretary (Kelly). In 1898 John Williams was the engineer/manger and Robert Jones the Secretary. On 13th April 1913, The Bala Gas Co. Ltd. was sold to the Bala UDC. C1945 Bala gasworks was operating just 4 retorts to supply the 300 supplied premises. 1949 Annual gas production 7 m cu.ft..  Vested in the Wales Gas Board from the Bala UDC. In 1952 the “Gas World Year Book”, showed that Bala was manufacturing 9m cu.ft. of gas using horizontal retort plant. J. Pullin was the engineer and manager. A plan of the gasworks held at the NGGA shows the gasholders, retort, purifiers, and coal store. The gasworks switched to butane air in 1963 and remained that way until 1989 when it was converted to natural gas.  The site was retained as a gasholder station and features on the OS maps from 1886 to 1995.",English Description
710088,710088,"The Bargoed Gas & Water Co. Ltd. Was formed in 1877, it was a small company with a capital of only £1000. A small gasholder is noted at the site between 1895-1901 prior to development of a larger gasworks. Land for the Bargoed gas works was found beside the River Rhymney and purchased from Lewis, the mine owners. In 1898 the company amalgamated with Caerphilly and Hengoed gas companies to form the Rhymney & Aber Valleys Gas & Water Co. Ltd. Under a Special Act of Parliament. From 1907 the Bargoed Coke Ovens provided a source of gas for town's supply. Speaking at the Welsh Gas Assn. in October 1908 A. W. Branson reported ""500 or so slot meter consumers using incandescent burners"" were supplied by coke oven gas. ""It has been successful; and moreover, in the area concerned, the coke oven gas (including enrichment) has enabled the price of supply to be reduced by 9d per 1,000 cubic feet. The experience is useful knowledge, but nothing more"". The Bargoed ovens of Powell Duffryn became an important supplier of gas to the R&AV Gas and Water company, and eventually were the sole source. Their Company built a Holder Station and compressor plant here (for Coke Oven Gas supply) across the river from the Powell Duffryn holder. Vested in the Wales Gas Board from the Rhymney & Aber Valleys Gas & Water Co. Ltd.  The undertakings records are held at the Glamorgan Archives, through the Rhymney & Aber Valleys Gas & Water Co. Ltd. The site features on the OS maps from 1916 to 1993.",English Description
710089,710089,The Rhymney & Aber Valleys Gas & Water Co. Ltd built a Holder Station and compressor plant here (for Coke Oven Gas supply) across the river from the Powell Duffryn. In 1955 there was an NCB gasholder on the NE side of the river which was filled with part-purified 425cv gas from the coke ovens. Wales Gas Board also had a holder; they completed the purification and compressed the gas to mix with the 475cv gas received from Nantgarw via Caerphilly. The gasholder station was marked on the 1916 to 1985 OS maps,English Description
710090,710090,"The gas company in Barry was formed by a Special Act in 1886. The gas company was known as the Barry Gas and Water Company in 1893, as reported in the Barry Dock News of that year. The gasworks constructed were described in the Barry Dock News of the 6th of December 1889 as “The directors have had to face the difficulty of a low authorised capital, and the works have been carried out with a rigid adherence to economy in construction, at the same time offering every facility for rapid extension. With what degree this end has been attained may be realised from the fact that the production of gas could be readily increased to double, treble, or even quadruple that provided for by the carbonizing section. The buildings at present consist of a retort house, about 100 feet in length by 73 in width (this for the time serving as retort house and coal stores combined), engine, exhauster, boiler houses, workshops, stores, photometer, and testing room, and meter, and governor house. There are other buildings to be erected, but these with the exception of the offices and show rooms for fittings, gas stoves, etc. are not absolutely necessary for the present. As the offices will serve for the joint Gas and Water undertakings”. The Barry and Cadoxton Local Board (Gas and Water) Bill went through parliament in 1894 for the compulsory purchase of the Barry Gas and Water Company (Barry Dock News 1894). In 1896 the annual gas production was 28m cu.ft. from 2,800 tons of coal. 530 consumers. Mr F. M. Harris was Engineer, Manager & Secretary. In 1900 the annual gas production was 76.6m cu.ft. from 7,303 tons of coal, the illuminating power was 16cp. There were 3,178 consumers of whom 2,244 had slot meters. 686 public lamps. Mr. F. M. Harris, Engineer & Manager. In 1914 annual gas production was 194m cu.ft. coal gas plus 11m cu.ft. of water gas from 18,200 tons of coal. 1,402 ordinary meters, 5,100 slots, 5,937 stoves and 978 public lamps, of which 229 were incandescent. 35 miles of mains. Two holders, total capacity 900,000 cu.ft.. Thomas E. Franklin, Engineer, Manager & Secretary. In 1938 Barry UDC Gas, Water and Electricity Department. R. L. Aspinal, Engineer & Manager, G. E. Childs, Asst E&M. Annual gas production of gas 374m cu.ft.. 2,512 ordinary consumers, 7,652 slot meters, total 10,164 plus 1,297 public lamps. In 1947 the annual gas production was 493m cu.ft. of which 324m cu.ft. was water gas, Coal carbonised 15,211 tons. Oil consumed by CWG plant 516,748 gallons. In 1949 the annual gas production was 485m cu.ft. of 430cv gas. Inclined retorts and CWG. S. D. Coole. Engineer & Manager. The works appears to have taken a bulk supply of gas from Cardiff, ceasing production not long before nationalisation. Cardiff had gained a major supply of unpurified Coke Oven Gas from the new Guest Iron & Steel Works. Vested in the Wales Gas Board from the Barry Corporation. 1951 An aerial photograph suggests the works may have closed. Spacious and orderly layout. Tall retort house next to the railway boundary inclines. Very tall cast-iron tower scrubber. One column guided and one (larger) spiral. In 1952 the “Gas World Year Book”, showed that Barry was purchasing 450m cu.ft. of gas from other works and was no longer manufacturing gas. It was retained for gas storage. S.D. Coole was the engineer and manager.  The undertakings records are held at the Glamorgan Archives.  The gasworks were visible on the 1898 to 1972 OS maps.",English Description
710091,710091,"A single three-lift spiral holder in a steel tank, present by 1965. A District Office/Depot was built here between 1974 and 1976. The gasholder station was marked on the 1942 to 2021 OS maps.",English Description
710092,710092,"The North Wales Chronicle and Advertiser for the Principality recorded in July 1856, relating to the Beaumaris Gasworks, Anglesey, the following “Mr Pwilheli, Gas Engineer prepares Plans, Specifications and Estimates for Gas Works, and superintends their erection.  Mr George Walcott leases and values gasworks. Messrs. Walcott and Van Senden, erect small gasworks for lighting isolated mansions, hotels, factories etc and fit up the inside of houses for gas at a reasonable rate, with superior gas fittings, tubing and workmanship, office 25 Laurence Poutney Lane, Cannon Street, London. This suggests that Walcott was the gas engineer responsible for building the gasworks. In 1857 the gas supply was commenced by Sir Richard Williams Bulkeley, Bart., to supply 'Barron Hill', the family home. His family continued the public supply which was given from this works. George Walcott was still advertised in 1859 as engineer/manager of the Beaumaris gasworks. In 1881 T. Walker, Manager. In 1895 Thomas walker was manager of the Beaumaris Gas & Water Works (Kelly’s Directory). The gas undertaking was acquired by Beaumaris Borough Council in 1922. On 10th June 1937, it was sold to the East Anglesey Gas Co. Ltd. In 1945 the Holyhead and North Wales Gas & Water Corporation was told that the Company might be purchased, but they did not act because of uncertainty over the Heyworth Report and potential nationalisation. The gasworks were vested in the Wales Gas Board from the East Anglesey Gas Company. In 1952 the “Gas World Year Book”, showed that Beaumaris was manufacturing 10m cu.ft. of gas using horizontal retort plant. By 1953 a bulk supply was being received from Bangor via Menai Bridge allowing the gasworks to close. Jones and Reeve, record that the Beaumaris gasworks closed in June 1955 following a supply of gas from the North Wales Gas Grid.  The gasworks were visible on the 1888 to 1988 OS maps.",English Description
710093,710093,A gasholder station was constructed from three converted Lancashire boilers. The site was used as a local base during the conversion to natural gas. It is not marked on any OS maps.,English Description
710094,710094,"Complaints were made of the gasworks in 1858, with the local complaints that the gasometer was a nuisance and should be moved elsewhere. The gasometer was the private property of Messrs Cullimores and Williams (Monmouthshire Merlin 24th April 1858).  The company owning the gasworks was known as the Tredegar Gas Company in 1868. By 1873 the Tredegar Iron and Coal Company had established private water works and gasworks (that referred to above).  An Additional large gasholder added between 1879 and1899. The Tredegar Water and Gas Act of 1878 incorporated the Tredegar Water & Gas Company, enabling the Iron & Coal Company to separate those businesses from their main activities. In 1883 The Tredegar Water and Gas Company, had authorised capital of £60,000, in 1881 it had produced 24m cu.ft. of 14 cp gas from 1718 tons of coal. (The Cardiff Times 20th January 1883). In 1882 a new Tredegar Water and Gas Act empowered the Local Board (later UDC) to purchase the gas undertaking, the manager was Henry F. Wells. A third gasholder was added between 1901 and 1920. The annual gas production in 1900 was 23m cu.ft. of 14 cp gas from 2569 tons of coal. The annual gas production in 1915 was 59.6 cu.ft. of 14 cp gas from 6295 tons of coal.  The annual gas production in 1928 was 69.8 cu.ft.. A 24-ton/day continuous vertical retort plant was built by Woodall-Duckham in the 1920s. By the 1938 the annual gas production had risen to 98m cu.ft.. From 5,593 tons of coal. This had dropped back to 92m cu.ft. in 1945, after which new plant was added including retorts and condensers.  In 1952 the “Gas World Year Book”, showed that Tredegar manufactured 161m cu.ft. of gas using Vertical Retorts. S. L. Filer was the engineer and manager. Gas production had ceased at Tredegar in 1955, but three spiral gasholders remained in use as a gasholder station storing gas from the easter section of the South Wales Gas Grid which had been built in 1951.  The gasworks were visible on the 1878 to 1985 OS maps.",English Description
